comment_id,hotsearch_id,platform,username,comment_text,sentiment,likes,replies,timestamp
43,13,微博,艺术联名收藏家,Skull Panda艺术联名太有品位了,positive,4500,280,2024-07-21 12:15:00
44,13,小红书,设计圈内人,这次联名的设计理念很前卫 有收藏价值,positive,3100,165,2024-07-21 13:00:00
45,13,微博,用户N_4456,联名款设计确实不错 但价格偏高,neutral,1800,95,2024-07-21 14:00:00
46,14,抖音,活动参与者,会员日活动力度还行 但没有预期的好,neutral,2200,134,2024-07-21 20:15:00
47,14,微博,用户O_6678,会员积分兑换太坑了 门槛太高,neutral,1500,89,2024-07-21 21:00:00
48,14,小红书,会员达人小李,会员日限定款还可以 但优惠力度一般,neutral,1800,98,2024-07-21 22:00:00
49,15,小红书,Molly限定收藏家,生日限定款设计太精美了 非入不可,positive,5600,320,2024-07-22 09:15:00
50,15,微博,用户P_9901,Molly生日限定 限量3000套 手慢无,positive,3200,178,2024-07-22 10:00:00
51,15,抖音,限定款抢购现场,生日限定太火爆了 门店瞬间售罄,positive,4500,230,2024-07-22 11:00:00
52,16,微博,表情包爱好者,Labubu表情包太魔性了 已经存了50张,positive,15000,890,2024-07-22 13:15:00
53,16,微博,用户Q_2233,Labubu表情包统治了我的微信聊天,positive,8900,450,2024-07-22 14:00:00
54,16,抖音,搞笑博主,Labubu表情包合集 太好笑了哈哈哈,positive,25000,1200,2024-07-22 15:00:00
55,16,小红书,表情包收集家,Labubu表情包壁纸合集 需要的私我,positive,6700,340,2024-07-22 16:00:00
56,17,微博,股市观察者,泡泡玛特股价创新高 IP经济太猛了,positive,8900,560,2024-07-23 10:15:00
57,17,微博,投资顾问小王,泡泡玛特IP矩阵价值被低估 长期看好,positive,5600,320,2024-07-23 11:00:00
58,17,微博,用户R_5567,股价涨了但产品价格也在涨 消费者买单,neutral,3200,178,2024-07-23 12:00:00
59,18,小红书,Dimoo系列收藏家,水族馆系列太梦幻了 每一款都想拥有,positive,3500,190,2024-07-23 19:15:00
60,18,微博,用户S_8890,Dimoo水族馆系列设计概念很独特,positive,2100,112,2024-07-23 20:00:00
61,18,小红书,设计师小张,水族馆系列的配色方案太高级了,positive,1800,95,2024-07-23 21:00:00
62,19,抖音,七夕礼物推荐官,泡泡玛特七夕礼盒 太适合送女朋友了,positive,7200,380,2024-07-24 11:15:00
63,19,抖音,情侣博主小王,和男朋友一起开七夕限定 太甜了,positive,5600,280,2024-07-24 12:00:00
64,19,微博,用户T_3345,七夕礼盒价格偏高 但包装确实精美,neutral,2800,145,2024-07-24 13:00:00
65,20,微博,奢侈品联名观察,Labubu x 奢侈品联名 潮玩天花板,positive,18000,950,2024-07-24 15:15:00
66,20,微博,用户U_6678,这个联名太高端了 泡泡玛特品牌升级了,positive,12000,680,2024-07-24 16:00:00
67,20,小红书,时尚博主小美,Labubu奢侈品联名 潮玩界的爱马仕,positive,9500,520,2024-07-24 17:00:00
68,20,抖音,潮流先锋,联名价格感人 但确实很有收藏价值,positive,8900,450,2024-07-24 18:00:00
69,21,小红书,暗黑风粉丝,Skull Panda的暗黑美学真的独树一帜,positive,3800,195,2024-07-25 08:15:00
70,21,微博,用户V_1122,暗黑风审美确实独特 不是大众路线,neutral,1500,78,2024-07-25 09:00:00
71,21,小红书,艺术评论家,Skull Panda的设计语言很有辨识度,positive,2800,145,2024-07-25 10:00:00
72,22,微博,Molly怀旧粉,经典款复刻 太感动了 买买买,positive,6700,340,2024-07-25 14:15:00
73,22,微博,用户W_4456,经典款做工确实比新版好 复刻良心,positive,4500,230,2024-07-25 15:00:00
74,22,小红书,收藏家小李,经典Molly复刻 入了全套 收藏价值高,positive,3200,178,2024-07-25 16:00:00
75,23,抖音,商业分析师,泡泡玛特IP授权收入增长强劲 商业模式成熟,positive,3500,190,2024-07-26 10:15:00
76,23,微博,用户X_7789,IP授权是泡泡玛特第二增长曲线,positive,2800,145,2024-07-26 11:00:00
77,23,微博,投资观察,IP授权收入占比提升 盈利能力增强,positive,2100,112,2024-07-26 12:00:00
78,24,微博,泰国华人小陈,Labubu在泰国太火了 泰国年轻人疯狂抢购,positive,15000,890,2024-07-26 16:15:00
79,24,抖音,东南亚市场观察,Labubu泰国爆火 中国潮玩出海成功案例,positive,12000,680,2024-07-26 17:00:00
80,24,小红书,代购小王,泰国泡泡玛特门店已经卖断货了,positive,8900,450,2024-07-26 18:00:00
81,24,微博,用户Y_2234,Labubu泰国热度超过国内了 国货之光,positive,6700,340,2024-07-26 19:00:00
82,25,小红书,Dimoo系列死忠粉,城市系列完结了好舍不得 每一款都是回忆,neutral,2200,134,2024-07-27 09:15:00
83,25,微博,用户Z_5567,Dimoo城市系列完美收官 期待新系列,positive,1800,95,2024-07-27 10:00:00
84,25,小红书,潮玩记录者,城市系列完结 希望出个合集限定,neutral,1500,78,2024-07-27 11:00:00
85,26,抖音,暑期活动推荐,泡泡玛特暑假活动还挺多的 适合带孩子去,positive,4500,230,2024-07-27 13:15:00
86,26,微博,用户AA_8890,暑假营销力度一般 没有特别大的优惠,neutral,2100,112,2024-07-27 14:00:00
87,26,小红书,亲子博主,带孩子去泡泡玛特暑假活动 孩子玩得很开心,positive,3500,190,2024-07-27 15:00:00
88,27,微博,收藏投资专家,Labubu手办收藏价值持续走高 投资回报率惊人,positive,5600,320,2024-07-28 11:15:00
89,27,微博,用户BB_1122,三年前买的Labubu现在翻了五倍 收藏真赚,positive,4500,230,2024-07-28 12:00:00
90,27,小红书,潮玩理财指南,Labubu收藏投资指南 这几款最值得入手,positive,3200,178,2024-07-28 13:00:00
91,28,小红书,审美多元派,Molly可爱风有人喜欢有人不喜欢 正常,neutral,1800,95,2024-07-28 20:15:00
92,28,微博,用户CC_3345,可爱风不是泡泡玛特唯一方向 应该多元化,neutral,1500,78,2024-07-28 21:00:00
93,28,小红书,设计评论,Molly可爱风审美疲劳了吗 要不要转型,neutral,2100,112,2024-07-28 22:00:00
94,29,微博,限量款猎人,Skull Panda限量发售 拼手速的时候到了,positive,5600,280,2024-07-29 10:15:00
95,29,小红书,限量收藏家,抢到了Skull Panda限量款 开心到飞起,positive,4200,230,2024-07-29 11:00:00
96,29,微博,用户DD_6678,限量发售又秒没 黄牛能不能别抢了,neutral,3200,178,2024-07-29 12:00:00
97,30,抖音,海外拓展观察,泡泡玛特海外门店扩张速度惊人 已覆盖30+国家,positive,8900,450,2024-07-29 15:15:00
98,30,微博,用户EE_9901,中国品牌全球化 泡泡玛特走在前列,positive,6700,340,2024-07-29 16:00:00
99,30,小红书,海外市场分析,泡泡玛特海外门店扩张策略分析 很有参考价值,positive,4500,230,2024-07-29 17:00:00
100,30,抖音,出海品牌观察,Labubu海外爆款效应带动整体海外业务增长,positive,5600,280,2024-07-29 18:00:00
